segment,env_step,gradient_step,elapsed_s,eval_seconds,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
0,25000,1250,349.989,0.0,117.255081,105.56971,1.228189,0.026316,4.35818,4.35818,4.35818,4.35818,0.023478,0.010047,1.40653,8.311299,0.182487,-8.321948,1.0,0.90616,2.838123,0.263072,0.445558,0.182487,15360.0,4.640742,0.263046,1.070197,0.807151,1008.0,13918.614258,1024.0,1024.0,74.692207,25000,64.0,1999.3
0,25800,1300,379.505,15.346,118.049454,106.673737,1.010942,0.027861,4.415817,4.415817,4.415817,4.415817,0.017498,0.01181,1.375809,8.315921,0.178918,-8.345213,1.0,0.900105,2.720966,0.298954,0.477871,0.178918,15360.0,4.609151,0.298909,1.015118,0.716209,1008.0,13825.605469,1024.0,1024.0,175.56601,25800,64.0,1999.3
0,26600,1350,393.376,15.346,111.19838,100.122391,0.882671,0.025291,4.369938,4.369938,4.369938,4.369938,0.013481,0.008707,1.367289,8.319919,0.176982,-8.29833,1.0,0.91293,2.639924,0.328461,0.505443,0.176982,15360.0,4.512963,0.328452,1.012775,0.684323,1008.0,14022.611328,1024.0,1024.0,113.59446,26600,64.0,1999.3
0,27400,1400,407.291,15.346,109.621658,98.865295,0.802381,0.024713,4.272529,4.272529,4.272529,4.272529,0.015088,0.007994,1.373715,8.322962,0.175861,-8.335643,1.0,0.919589,2.534519,0.356123,0.531983,0.175861,15360.0,4.404168,0.356116,1.020177,0.664062,1008.0,14124.891602,1024.0,1024.0,70.315125,27400,64.0,1999.3
0,28200,1450,421.23,15.346,109.829727,99.019089,0.753434,0.025067,4.593677,4.593677,4.593677,4.593677,0.01672,0.008375,1.31651,8.323119,0.168756,-8.337565,1.0,0.915608,2.362018,0.380922,0.549678,0.168756,15360.0,4.335219,0.38093,1.058704,0.677775,1008.0,14063.744141,1024.0,1024.0,103.911667,28200,64.0,1999.3
0,29000,1500,435.063,15.346,107.456032,96.645416,0.769635,0.024686,4.647382,4.647382,4.647382,4.647382,0.020821,0.007855,1.309592,8.324946,0.167374,-8.326126,1.0,0.922098,2.279032,0.403182,0.570557,0.167374,15360.0,4.385143,0.403181,1.145513,0.742332,1008.0,14163.419922,1024.0,1024.0,109.802536,29000,64.0,1999.3
0,29800,1550,448.831,15.346,108.20314,97.532257,0.737853,0.025017,4.541381,4.541381,4.541381,4.541381,0.019249,0.008214,1.28627,8.32412,0.165347,-8.312131,1.0,0.917168,2.267396,0.4295,0.594846,0.165347,15360.0,4.529418,0.429504,1.207806,0.778302,1008.0,14087.705078,1024.0,1024.0,123.361084,29800,64.0,1999.3
0,30600,1600,462.76,15.346,104.402428,93.58194,0.725625,0.024042,4.654302,4.654302,4.654302,4.654302,0.020656,0.006987,1.309513,8.322887,0.167141,-8.314244,1.0,0.927445,2.320387,0.462962,0.630102,0.167141,15360.0,4.403961,0.46297,1.196527,0.733557,1008.0,14245.548828,1024.0,1024.0,120.848228,30600,64.0,1999.3
0,31400,1650,476.707,15.346,93.075272,82.57103,0.617155,0.02351,4.50584,4.50584,4.50584,4.50584,0.014984,0.006228,1.327154,8.327968,0.167833,-8.343342,1.0,0.931571,2.339252,0.496766,0.664599,0.167833,15360.0,4.135837,0.496778,1.133646,0.636867,1008.0,14308.936523,1024.0,1024.0,105.89756,31400,64.0,1999.3
0,32200,1700,490.542,15.346,100.457771,89.313599,0.67097,0.023023,4.917771,4.917771,4.917771,4.917771,0.018332,0.005597,1.339911,8.331327,0.16913,-8.342751,1.0,0.93682,2.328359,0.530397,0.699528,0.16913,15360.0,4.574571,0.530418,1.29543,0.765012,1008.0,14389.560547,1024.0,1024.0,66.789482,32200,64.0,1999.3
0,33000,1750,504.449,15.346,90.097404,79.294693,0.614656,0.022585,4.756532,4.756532,4.756532,4.756532,0.018501,0.004983,1.349395,8.328878,0.170546,-8.303761,1.0,0.939792,2.272981,0.562407,0.732953,0.170546,15360.0,4.369704,0.562433,1.258082,0.695649,1008.0,14435.201172,1024.0,1024.0,158.083862,33000,64.0,1999.3
0,33800,1800,518.133,15.346,91.845108,80.961639,0.614154,0.022663,4.967232,4.967232,4.967232,4.967232,0.017194,0.005045,1.348047,8.33031,0.169492,-8.343647,1.0,0.938712,2.157828,0.59228,0.761771,0.169492,15360.0,4.256079,0.592293,1.282201,0.689909,1008.0,14418.611328,1024.0,1024.0,83.547157,33800,64.0,1999.3
0,34600,1850,532.025,15.346,96.851662,86.034111,0.536973,0.022473,5.214814,5.214814,5.214814,5.214814,0.013625,0.004711,1.363992,8.334054,0.172011,-8.321675,1.0,0.94124,2.022426,0.618398,0.790409,0.172011,15360.0,3.78461,0.618418,1.202055,0.583638,1008.0,14457.453125,1024.0,1024.0,107.1231,34600,64.0,1999.3
0,35400,1900,545.903,15.346,88.692406,77.676605,0.637818,0.022177,5.195565,5.195565,5.195565,5.195565,0.019732,0.004292,1.390452,8.335795,0.174404,-8.332532,1.0,0.94568,1.974104,0.641469,0.815873,0.174404,15360.0,4.253766,0.641492,1.363267,0.721775,1008.0,14525.638672,1024.0,1024.0,86.640564,35400,64.0,1999.3
