env_step,gradient_step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
27400,1400,497.413,22.522978,15.828369,0.806265,0.022873,1.292883,1.292883,1.25973,1.25973,0.036702,0.005225,0.308755,1.370981,0.236526,-1.365679,1.0,0.939593,2.79489,0.464862,0.701387,0.236526,15360.0,4.465525,0.464873,1.289623,0.824751,1008.0,14432.143555,1024.0,1024.0,22.963177,27400,64.0,1997.2
28200,1450,514.61,20.251286,13.23403,0.870071,0.021997,1.37787,1.37787,1.314921,1.314921,0.042081,0.003871,0.308979,1.372511,0.233649,-1.377208,1.0,0.947616,2.809713,0.499891,0.73354,0.233649,15360.0,4.969463,0.499899,1.578033,1.078135,1008.0,14555.380859,1024.0,1024.0,21.113867,28200,64.0,1997.2
29000,1500,531.629,20.584536,13.593258,0.856849,0.02192,1.409353,1.409353,1.332213,1.332213,0.043856,0.003717,0.304119,1.372166,0.230836,-1.372685,1.0,0.948831,2.767372,0.535286,0.766122,0.230836,15360.0,4.969096,0.535296,1.649732,1.114436,1008.0,14574.050781,1024.0,1024.0,21.378567,29000,64.0,1997.2
29800,1550,548.618,19.226103,12.516842,0.743541,0.021974,1.447289,1.447289,1.40449,1.40449,0.037482,0.003817,0.303726,1.372894,0.229611,-1.374526,1.0,0.948005,2.695098,0.571948,0.801559,0.229611,15360.0,4.509675,0.571959,1.37101,0.799051,1008.0,14561.357422,1024.0,1024.0,29.416243,29800,64.0,1997.2
30600,1600,565.277,24.860794,18.210665,0.665193,0.022715,1.664163,1.664163,1.643963,1.643963,0.032267,0.005052,0.293859,1.374022,0.225674,-1.37209,1.0,0.938711,2.556088,0.608456,0.834129,0.225674,15360.0,4.272314,0.608451,1.347665,0.739214,1008.0,14418.597656,1024.0,1024.0,31.301914,30600,64.0,1997.2
31400,1650,582.172,22.248283,15.74898,0.654651,0.022109,1.621883,1.621883,1.602308,1.602308,0.032592,0.004059,0.302312,1.375194,0.230558,-1.368298,1.0,0.946414,2.460202,0.641719,0.872278,0.230558,15360.0,4.253199,0.6417,1.452391,0.81069,1008.0,14536.916016,1024.0,1024.0,26.810707,31400,64.0,1997.2
32200,1700,599.05,18.755867,12.154298,0.694842,0.021483,1.580636,1.580636,1.55346,1.55346,0.037996,0.002944,0.314686,1.376998,0.237291,-1.373443,1.0,0.953321,2.520556,0.677194,0.914485,0.237291,15360.0,4.371006,0.677198,1.582417,0.905219,1008.0,14643.005859,1024.0,1024.0,27.604601,32200,64.0,1997.2
33000,1750,615.945,19.159843,12.471468,0.818643,0.021467,1.404886,1.404886,1.335996,1.335996,0.045017,0.002885,0.317639,1.377206,0.2378,-1.378687,1.0,0.954874,2.549231,0.719555,0.957355,0.2378,15360.0,4.786735,0.719566,1.850727,1.13116,1008.0,14666.871094,1024.0,1024.0,25.817337,33000,64.0,1997.2
33800,1800,632.608,18.141697,11.528593,0.691774,0.02132,1.488353,1.488353,1.449237,1.449237,0.035613,0.002587,0.324238,1.378448,0.240933,-1.391812,1.0,0.956146,2.558404,0.76469,1.005624,0.240933,15360.0,4.6006,0.764708,1.702783,0.938075,1008.0,14686.396484,1024.0,1024.0,36.338505,33800,64.0,1997.2
34600,1850,649.291,14.744533,8.04785,0.777461,0.021033,1.432315,1.432315,1.383803,1.383803,0.050008,0.001994,0.327341,1.379709,0.244188,-1.384331,1.0,0.960903,2.532177,0.80815,1.052339,0.244188,15360.0,4.877083,0.808169,1.977655,1.169486,1008.0,14759.46875,1024.0,1024.0,31.496277,34600,64.0,1997.2
