env_step,gradient_step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
27400,1400,497.467,113.424606,102.992798,0.884572,0.025531,4.007088,4.007088,4.007088,4.007088,0.021382,0.009127,1.338928,8.325123,0.172756,-8.323534,1.0,0.912051,2.355845,0.388132,0.560888,0.172756,15360.0,4.730443,0.388131,1.218861,0.830731,1008.0,14009.110352,1024.0,1024.0,81.036018,27400,64.0,1999.3
28200,1450,514.542,113.317093,102.973412,0.76865,0.026589,4.333381,4.333381,4.333381,4.333381,0.015222,0.010346,1.26289,8.327932,0.163846,-8.326943,1.0,0.904113,2.245953,0.413082,0.576928,0.163846,15360.0,4.242949,0.413085,1.111838,0.698753,1008.0,13887.168945,1024.0,1024.0,112.402817,28200,64.0,1999.3
29000,1500,531.474,106.03244,95.739037,0.7165,0.025874,4.314084,4.314084,4.314084,4.314084,0.014017,0.009472,1.275018,8.327904,0.164208,-8.341666,1.0,0.911799,2.27888,0.444111,0.608319,0.164208,15360.0,4.172117,0.444113,1.111332,0.667219,1008.0,14005.224609,1024.0,1024.0,87.648987,29000,64.0,1999.3
29800,1550,548.444,112.720444,102.385864,0.704456,0.025146,4.309135,4.309135,4.309135,4.309135,0.017076,0.008602,1.269071,8.333405,0.162864,-8.338608,1.0,0.914682,2.297017,0.479801,0.642666,0.162864,15360.0,4.329485,0.47981,1.177831,0.698021,1008.0,14049.512695,1024.0,1024.0,118.882454,29800,64.0,1999.3
30600,1600,565.105,104.897232,94.338654,0.654728,0.023959,4.547961,4.547961,4.547961,4.547961,0.012977,0.007008,1.29666,8.3351,0.164943,-8.347323,1.0,0.926525,2.324433,0.516678,0.681621,0.164943,15360.0,4.186828,0.516696,1.171437,0.654741,1008.0,14231.424805,1024.0,1024.0,100.424881,30600,64.0,1999.3
31400,1650,582.103,101.827377,91.62236,0.631223,0.024285,4.313511,4.313511,4.313511,4.313511,0.012951,0.007388,1.291921,8.339231,0.164565,-8.340519,1.0,0.924578,2.265111,0.552839,0.717404,0.164565,15360.0,4.158716,0.552862,1.199899,0.647037,1008.0,14201.517578,1024.0,1024.0,88.871483,31400,64.0,1999.3
32200,1700,598.881,104.991928,94.400772,0.641309,0.023973,4.664376,4.664376,4.664376,4.664376,0.017099,0.006966,1.319039,8.341208,0.167295,-8.349794,1.0,0.928779,2.178451,0.587458,0.754753,0.167295,15360.0,4.32524,0.58749,1.289935,0.702445,1008.0,14266.042969,1024.0,1024.0,132.160721,32200,64.0,1999.3
33000,1750,615.792,103.919785,93.659554,0.703619,0.024114,4.480782,4.480782,4.480782,4.480782,0.021627,0.007089,1.2886,8.343274,0.163881,-8.337775,1.0,0.927285,2.009267,0.618549,0.782429,0.163881,15360.0,4.352558,0.618601,1.369429,0.750828,1008.0,14243.103516,1024.0,1024.0,138.039337,33000,64.0,1999.3
33800,1800,632.436,94.899452,84.765732,0.59733,0.022911,4.552742,4.552742,4.552742,4.552742,0.01664,0.005505,1.349211,8.347016,0.169836,-8.353945,1.0,0.937111,1.953727,0.644907,0.814743,0.169836,15360.0,4.008405,0.644954,1.296067,0.651113,1008.0,14394.029297,1024.0,1024.0,94.780281,33800,64.0,1999.3
34600,1850,649.12,102.035988,91.666328,0.645956,0.022651,4.561101,4.561101,4.561101,4.561101,0.019924,0.005058,1.348983,8.350174,0.169468,-8.356608,1.0,0.941401,1.986674,0.677602,0.847069,0.169468,15360.0,4.493933,0.67764,1.440944,0.763304,1008.0,14459.916992,1024.0,1024.0,84.363144,34600,64.0,1999.3
35400,1900,666.138,92.866531,82.631737,0.568346,0.022351,4.534303,4.534303,4.534303,4.534303,0.014211,0.004635,1.372214,8.352665,0.172168,-8.3526,1.0,0.943961,2.03668,0.710607,0.882775,0.172168,15360.0,4.158232,0.710661,1.369404,0.658743,1008.0,14499.237305,1024.0,1024.0,206.174835,35400,64.0,1999.3
36200,1950,682.993,96.608414,85.757843,0.617371,0.022442,4.940955,4.940955,4.940955,4.940955,0.018325,0.004734,1.368926,8.354953,0.171208,-8.375972,1.0,0.942747,2.057582,0.743183,0.914391,0.171208,15360.0,4.497314,0.743229,1.494186,0.750956,1008.0,14480.599609,1024.0,1024.0,98.885971,36200,64.0,1999.3
37000,2000,700.181,95.050034,84.458939,0.607231,0.022543,4.81716,4.81716,4.81716,4.81716,0.016891,0.004878,1.337677,8.356368,0.167718,-8.355738,1.0,0.941584,2.044319,0.774978,0.942696,0.167718,15360.0,4.268157,0.774984,1.490707,0.715723,1008.0,14462.722656,1024.0,1024.0,67.197639,37000,64.0,1999.3
37800,2050,717.165,95.223846,84.535149,0.610214,0.022103,4.874218,4.874218,4.874218,4.874218,0.021511,0.004164,1.376756,8.360182,0.171255,-8.386794,1.0,0.947939,2.047917,0.805348,0.976603,0.171255,15360.0,4.233559,0.805292,1.538508,0.733216,1008.0,14560.347656,1024.0,1024.0,96.264992,37800,64.0,1999.3
38600,2100,734.068,89.578026,78.816261,0.553077,0.022131,5.12248,5.12248,5.12248,5.12248,0.013941,0.004192,1.361567,8.362667,0.170051,-8.355163,1.0,0.947564,1.989885,0.834264,1.004315,0.170051,15360.0,4.00126,0.834223,1.512781,0.678557,1008.0,14554.576172,1024.0,1024.0,126.818207,38600,64.0,1999.3
39400,2150,751.066,84.221642,73.981651,0.535677,0.021676,4.796228,4.796228,4.796228,4.796228,0.015338,0.003475,1.352157,8.36487,0.1686,-8.344877,1.0,0.951194,1.906638,0.861039,1.029639,0.1686,15360.0,3.826647,0.860926,1.519,0.658074,1008.0,14610.337891,1024.0,1024.0,124.427582,39400,64.0,1999.3
40200,2200,767.918,88.587311,78.039925,0.53365,0.02178,5.194093,5.194093,5.194093,5.194093,0.01386,0.003607,1.371935,8.366552,0.170502,-8.373352,1.0,0.951821,1.800172,0.885399,1.055901,0.170502,15360.0,3.687832,0.885337,1.545308,0.659971,1008.0,14619.970703,1024.0,1024.0,131.37294,40200,64.0,1999.3
41000,2250,784.852,94.0839,83.417137,0.52306,0.021511,5.375055,5.375055,5.375055,5.375055,0.01555,0.003166,1.392572,8.367006,0.172775,-8.369766,1.0,0.953961,1.741797,0.907655,1.08043,0.172775,15360.0,3.584241,0.907445,1.562476,0.655031,1008.0,14652.84375,1024.0,1024.0,149.75209,41000,64.0,1999.3
41800,2300,801.403,90.949303,80.103577,0.574376,0.021632,5.37885,5.37885,5.37885,5.37885,0.018301,0.003342,1.396349,8.369469,0.17313,-8.371722,1.0,0.953946,1.798938,0.930157,1.103287,0.17313,15360.0,3.792281,0.929594,1.630517,0.700924,1008.0,14652.607422,1024.0,1024.0,118.174438,41800,64.0,1999.3
42600,2350,818.203,93.489799,82.758347,0.513253,0.02149,5.352087,5.352087,5.352087,5.352087,0.016119,0.003058,1.385558,8.37104,0.171935,-8.364406,1.0,0.955331,1.842597,0.95405,1.125985,0.171935,15360.0,3.604183,0.952822,1.58034,0.627518,1008.0,14673.882812,1024.0,1024.0,118.352203,42600,64.0,1999.3
