step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,post_entropy,prior_entropy,reward_mae,cont_mae,grad_norm
1550,339.865,98.48008,93.168159,0.654758,0.025194,4.210886,4.210886,4.210886,4.210886,31.846254,37.083054,0.011962,0.00857,135.497711
1575,345.253,92.191315,86.853958,0.639913,0.02475,4.247903,4.247903,4.247903,4.247903,31.96804,36.952873,0.012183,0.007958,205.237274
1600,350.632,100.34964,95.112061,0.651382,0.026405,4.145262,4.145262,4.145262,4.145262,32.151772,37.324905,0.01462,0.009961,159.716095
1625,356.096,94.194267,88.810455,0.639729,0.023981,4.290998,4.290998,4.290998,4.290998,32.004646,36.977951,0.013554,0.006979,108.764648
1650,361.488,88.073296,82.929443,0.599388,0.023117,4.110312,4.110312,4.110312,4.110312,31.742039,36.821705,0.012359,0.005802,88.594246
1675,366.86,95.33461,89.884346,0.795046,0.024888,4.209397,4.209397,4.209397,4.209397,31.870621,37.008335,0.027806,0.008026,122.434914
1700,372.215,94.850647,89.311142,0.608616,0.023725,4.461055,4.461055,4.461055,4.461055,31.663963,36.922066,0.013219,0.006599,131.944092
1725,377.657,88.082642,82.792343,0.572979,0.023519,4.267086,4.267086,4.267086,4.267086,31.48497,36.892548,0.012378,0.006243,101.935013
1750,383.022,94.058067,88.51461,0.585546,0.02379,4.485562,4.485562,4.485562,4.485562,32.04171,36.870949,0.012348,0.00666,160.862183
1775,388.383,92.68,87.217606,0.592801,0.02433,4.404783,4.404783,4.404783,4.404783,31.615549,36.925259,0.015642,0.007248,107.151291
1800,393.755,90.544785,84.963303,0.599993,0.023381,4.507369,4.507369,4.507369,4.507369,31.828941,36.701057,0.016305,0.00609,122.550957
1825,399.236,87.362587,82.013275,0.535004,0.023311,4.355452,4.355452,4.355452,4.355452,31.681797,36.539833,0.010886,0.005947,124.537056
1850,404.612,82.308189,76.85173,0.563852,0.024124,4.425897,4.425897,4.425897,4.425897,31.451994,36.721985,0.014234,0.00693,139.47052
1875,409.983,82.751564,77.264206,0.562584,0.022569,4.456553,4.456553,4.456553,4.456553,31.356356,36.635658,0.013895,0.004911,120.978882
1900,415.356,84.421669,78.821442,0.536156,0.02266,4.583101,4.583101,4.583101,4.583101,31.737892,36.639957,0.011815,0.005067,147.05632
1925,420.81,86.027847,80.492752,0.547663,0.022816,4.513285,4.513285,4.513285,4.513285,31.502634,36.56979,0.012897,0.00526,92.58744
